k,n,xi,q0,replication_factor,row_scale,coordinate,coordinate_type,E_S,E_bar_S,posterior_variance,ratio_S_bar_S,ratio_S_bar_S_log_se,ratio_S_bar_S_lower_95,ratio_S_bar_S_upper_95,ratio_S_posterior_variance,ratio_S_posterior_variance_log_se,ratio_S_posterior_variance_lower_95,ratio_S_posterior_variance_upper_95,acceptance_S,acceptance_bar_S_envelope,maximum_log_envelope_error,coordinate_role
16,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.003686948990774664,0.014087706312751613,0.1311698760877066,0.26171393049537095,0.014402890927689316,0.25442914095426167,0.2692072973969949,0.028108199083068774,0.012826941741744865,0.02741034536726084,0.028823819806265413,0.64277,0.4842568110720477,-3.779591718754626e-10,j = 1
16,128,8,8,8,1.3228756555322954,16,prior-scale curvature,0.0041727685642156745,0.017257571471224677,1.0005978486520162,0.2417934974902695,0.016002001431177155,0.23432759687003518,0.24949726882149023,0.0041702753707067,0.013585276764079581,0.004060698192048138,0.004282809468967482,0.64277,0.4842568110720477,-3.779591718754626e-10,j = k
32,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.0024556709176393244,0.011451610423450264,0.13051959252871498,0.21443891529969325,0.014533797545477232,0.2084165408611933,0.2206353114052242,0.018814576954023988,0.012847678916340198,0.018346714068163825,0.019294370896265806,0.70136,0.61752028554138,-2.4750051292313588e-11,j = 1
32,128,8,8,8,1.3228756555322954,32,prior-scale curvature,0.0027221331402706634,0.012996030808424444,0.998351764392081,0.20945880941633824,0.016527209596586663,0.20278245931715344,0.21635496970421975,0.002726627264417451,0.014350657876637618,0.002651003166341416,0.0028044086606372324,0.70136,0.61752028554138,-2.4750051292313588e-11,j = k
64,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.001459986130693362,0.008076749889064701,0.13123927668516006,0.18076406360806904,0.014531104425532293,0.1756883523730851,0.18598641429975546,0.011124612749853893,0.01284009586720803,0.010848137763388749,0.011408133961192663,0.74767,0.741306330014752,-1.8250810251156264e-14,j = 1
64,128,8,8,8,1.3228756555322954,64,prior-scale curvature,0.0015650186832420552,0.009192100890341457,1.0021782215176438,0.17025690882989714,0.015847940484778,0.16504968690961555,0.17562841558242998,0.00156161713519586,0.013594171868971603,0.0015205579389409648,0.0016037850413222596,0.74767,0.741306330014752,-1.8250810251156264e-14,j = k
128,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.0008541993488872046,0.005285583864222605,0.1310380569959695,0.1616092698233678,0.015475184384472068,0.15678103428985726,0.16658619590782822,0.006518711956431631,0.013717323177208774,0.006345785236841955,0.006696351040091624,0.77127,0.8406610958858046,-4.99195299809035e-13,j = 1
128,128,8,8,8,1.3228756555322954,128,prior-scale curvature,0.0008561159450226088,0.005645909843183519,1.0007200505704563,0.15163471766312828,0.015072355875733658,0.14722067296989938,0.15618110647733402,0.0008554999418015008,0.012965406056535093,0.0008340337168612926,0.0008775186609681027,0.77127,0.8406610958858046,-4.99195299809035e-13,j = k
256,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.00046773050911880936,0.0030750588312532137,0.13076863295016972,0.1521045725581094,0.014732387605067992,0.14777528598006606,0.15656069172626094,0.0035767790682422135,0.012889338216122391,0.003487550373042319,0.00366829067241702,0.7891,0.9116019581210061,-3.0191971211349847e-12,j = 1
256,128,8,8,8,1.3228756555322954,256,prior-scale curvature,0.0004724922197075086,0.0032242650850768943,0.9966202231845692,0.14654260963044893,0.01555971801429285,0.14214095265123897,0.15108057204311245,0.00047409455348771035,0.013595195982811777,0.0004616283811544311,0.0004868973720476674,0.7891,0.9116019581210061,-3.0191971211349847e-12,j = k
512,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.00023524148608288338,0.0017219104691320896,0.1308860012291127,0.13661656067487352,0.015391029324975396,0.13255686950024664,0.14080058408890433,0.0017973005812218395,0.013329140885859804,0.0017509539365619525,0.0018448739922896694,0.7964,0.9521905142780968,-4.9773340316763816e-12,j = 1
512,128,8,8,8,1.3228756555322954,512,prior-scale curvature,0.0002397035177962914,0.0017820091263380919,1.0050904407273897,0.13451306968829566,0.015279054173007522,0.130544533385481,0.13860224896235027,0.00023848950112670352,0.013110045243238062,0.00023243941263478913,0.0002446970653682986,0.7964,0.9521905142780968,-4.9773340316763816e-12,j = k
