k,n,xi,q0,replication_factor,row_scale,coordinate,coordinate_type,E_S,E_bar_S,posterior_variance,ratio_S_bar_S,ratio_S_bar_S_log_se,ratio_S_bar_S_lower_95,ratio_S_bar_S_upper_95,ratio_S_posterior_variance,ratio_S_posterior_variance_log_se,ratio_S_posterior_variance_lower_95,ratio_S_posterior_variance_upper_95,acceptance_S,acceptance_bar_S_envelope,maximum_log_envelope_error,path,coordinate_role
16,128,16,8,8,1.9364916731037085,1,large likelihood curvature,0.0021311837777367357,0.007589239291705146,0.06629425345376382,0.28081652136941676,0.015243683512579374,0.2725504916837961,0.28933324679343597,0.0321473380678933,0.013692882351456775,0.031296040895396664,0.03302179174374201,0.60144,0.3552145495879511,-2.936254802944127e-11,xi,j = 1
16,128,16,8,8,1.9364916731037085,16,prior-scale curvature,0.002479529196796051,0.009640569290527458,1.001858614799234,0.2571973834815304,0.018310137619480298,0.24813078089529414,0.26659527621306883,0.0024749292566525654,0.01582681847720932,0.0023993341184850797,0.0025529061493537505,0.60144,0.3552145495879511,-2.936254802944127e-11,xi,j = k
16,128,32,8,8,2.7838821814150108,1,large likelihood curvature,0.0011333470751003418,0.0039615500676390214,0.03314201974370285,0.28608677304330643,0.016115974455809288,0.2771912932301015,0.29526772200016677,0.03419668094656995,0.014644150444181978,0.03322910193071412,0.03519243433661971,0.55855,0.25522835280725664,-7.025990523206761e-12,xi,j = 1
16,128,32,8,8,2.7838821814150108,16,prior-scale curvature,0.0013338694786148954,0.005088185140661724,1.002134394071806,0.26215034275294313,0.018816242449017414,0.2526583880051629,0.27199889442847736,0.0013310285391914488,0.016222550401134773,0.0012893726500780873,0.001374030209214402,0.55855,0.25522835280725664,-7.025990523206761e-12,xi,j = k
16,128,64,8,8,3.968626966596886,1,large likelihood curvature,0.0005735407759767368,0.0020063193684928676,0.01657613392294216,0.28586713809555164,0.016852400223472883,0.2765789866940825,0.29546720674528243,0.03460039467845562,0.01550974609134556,0.03356440017063693,0.03566836606102178,0.51317,0.18181785124027047,-5.200606313930114e-11,xi,j = 1
16,128,64,8,8,3.968626966596886,16,prior-scale curvature,0.0007134875164051404,0.002645309958811611,0.9978035842875687,0.26971792625982555,0.0207461740463416,0.25897051000014465,0.280911366108288,0.0007150580812100096,0.01819014843281228,0.0006900134436333305,0.0007410117356719893,0.51317,0.18181785124027047,-5.200606313930114e-11,xi,j = k
16,128,128,8,8,5.634713834792322,1,large likelihood curvature,0.0002796085958249891,0.0010354785206401795,0.008280486918546277,0.27002838808488167,0.017863599103379518,0.26073757462065544,0.27965025937593874,0.03376716835319613,0.016482189746037594,0.03269374868852901,0.03487583113994972,0.47008,0.12971194867557614,-1.4617508880425203e-10,xi,j = 1
16,128,128,8,8,5.634713834792322,16,prior-scale curvature,0.00036336677467600266,0.0013607079654197685,1.000041849085435,0.2670424396052603,0.02324214979432379,0.25515035070254943,0.2794887969151303,0.00036335156874516515,0.02064079136354544,0.000348945211729371,0.0003783526985662313,0.47008,0.12971194867557614,-1.4617508880425203e-10,xi,j = k
16,128,256,8,8,7.984359711335656,1,large likelihood curvature,0.0001322911210807699,0.0005101905047947562,0.004147878285221894,0.2592974973808822,0.017915000878473246,0.25035067608547873,0.2685640526292491,0.0318936844294817,0.016618764291436983,0.030871555683387935,0.032949654915988745,0.43281,0.09167448955644215,-5.940387101678782e-12,xi,j = 1
16,128,256,8,8,7.984359711335656,16,prior-scale curvature,0.0001738966183231738,0.0006842358244602499,0.9983274578839635,0.25414719911858735,0.022783866993828786,0.24304758420410105,0.2657537166285194,0.0001741879550140388,0.020572981882710065,0.00016730389227378678,0.00018135527667413812,0.43281,0.09167448955644215,-5.940387101678782e-12,xi,j = k
16,128,512,8,8,11.302654555457314,1,large likelihood curvature,6.156046354548199e-05,0.0002563696255185113,0.0021004098188864445,0.24012385796864313,0.01868003381552153,0.23149123216970088,0.24907840623301136,0.0293087867862463,0.017441415213213886,0.028323792832593668,0.030328035089041604,0.39695,0.06497134763569266,-3.222424127309914e-10,xi,j = 1
16,128,512,8,8,11.302654555457314,16,prior-scale curvature,8.488808602114758e-05,0.00034557235394796457,1.0018837141421744,0.24564489911114462,0.024220205508536864,0.23425620059048843,0.2575872754156437,8.472848178177137e-05,0.022030825260926826,8.114773596848693e-05,8.846723250334225e-05,0.39695,0.06497134763569266,-3.222424127309914e-10,xi,j = k
16,128,1024,8,8,15.992185591719476,1,large likelihood curvature,2.9774200863313256e-05,0.00012867678281019862,0.0010364442487756668,0.23138751383947373,0.018767307905621908,0.2230308116169529,0.24005733186662082,0.028727257542781395,0.017498633992755558,0.02775869403237066,0.029729616420964302,0.3647,0.046134313595228606,-8.797261166948608e-13,xi,j = 1
16,128,1024,8,8,15.992185591719476,16,prior-scale curvature,3.884412164302969e-05,0.0001725483828000981,0.9984843526214875,0.2251201721666178,0.024280222982777742,0.21465779760898243,0.23609248059389837,3.890308500182802e-05,0.022213308400919694,3.724566152718407e-05,4.0634263444477995e-05,0.3647,0.046134313595228606,-8.797261166948608e-13,xi,j = k
16,128,2048,8,8,22.621892051727237,1,large likelihood curvature,1.4328305358269373e-05,6.550871238737729e-05,0.0005228154551057844,0.21872366035132995,0.019942049769255506,0.2103394576444285,0.22744206024509134,0.02740604780968162,0.0186995553548139,0.026419769735637644,0.028429144692105588,0.33992,0.03239447661215972,-1.1977954534076485e-10,xi,j = 1
16,128,2048,8,8,22.621892051727237,16,prior-scale curvature,1.8094373811434646e-05,8.880442670610572e-05,1.002792940994047,0.20375531358720725,0.027384426953783365,0.1931073697002994,0.21499038529422212,1.804397804545571e-05,0.024940159274145644,1.7183150655719323e-05,1.894793045980298e-05,0.33992,0.03239447661215972,-1.1977954534076485e-10,xi,j = k
16,128,4096,8,8,31.996093511552314,1,large likelihood curvature,6.411675322660516e-06,3.222015297618596e-05,0.00026071221434816836,0.19899580636377984,0.02000953433813464,0.19134250913456677,0.206955219357564,0.024592922654931803,0.018815309016310407,0.02370250405572735,0.02551679110736464,0.31525,0.022972177018082778,-8.560123818618655e-11,xi,j = 1
