k,n,xi,q0,replication_factor,row_scale,coordinate,coordinate_type,E_S,E_bar_S,posterior_variance,ratio_S_bar_S,ratio_S_bar_S_log_se,ratio_S_bar_S_lower_95,ratio_S_bar_S_upper_95,ratio_S_posterior_variance,ratio_S_posterior_variance_log_se,ratio_S_posterior_variance_lower_95,ratio_S_posterior_variance_upper_95,acceptance_S,acceptance_bar_S_envelope,maximum_log_envelope_error,coordinate_role,path,simulation_seed
16,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.0036869489907746,0.0140877063127516,0.1311698760877066,0.2617139304953709,0.0144028909276893,0.2544291409542616,0.2692072973969949,0.0281081990830687,0.0128269417417448,0.0274103453672608,0.0288238198062654,0.64277,0.4842568110720477,-3.7795917187546255e-10,j = 1,k,8172028
16,128,8,8,8,1.3228756555322954,16,prior-scale curvature,0.0041727685642156,0.0172575714712246,1.0005978486520162,0.2417934974902695,0.0160020014311771,0.2343275968700351,0.2494972688214902,0.0041702753707067,0.0135852767640795,0.0040606981920481,0.0042828094689674,0.64277,0.4842568110720477,-3.7795917187546255e-10,j = k,k,8172028
32,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.0024556709176393,0.0114516104234502,0.1305195925287149,0.2144389152996932,0.0145337975454772,0.2084165408611933,0.2206353114052242,0.0188145769540239,0.0128476789163401,0.0183467140681638,0.0192943708962658,0.70136,0.61752028554138,-2.4750051292313588e-11,j = 1,k,8172028
32,128,8,8,8,1.3228756555322954,32,prior-scale curvature,0.0027221331402706,0.0129960308084244,0.998351764392081,0.2094588094163382,0.0165272095965866,0.2027824593171534,0.2163549697042197,0.0027266272644174,0.0143506578766376,0.0026510031663414,0.0028044086606372,0.70136,0.61752028554138,-2.4750051292313588e-11,j = k,k,8172028
64,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.0014599861306933,0.0080767498890647,0.13123927668516,0.180764063608069,0.0145311044255322,0.1756883523730851,0.1859864142997554,0.0111246127498538,0.012840095867208,0.0108481377633887,0.0114081339611926,0.74767,0.741306330014752,-1.8250810251156264e-14,j = 1,k,8172028
64,128,8,8,8,1.3228756555322954,64,prior-scale curvature,0.001565018683242,0.0091921008903414,1.0021782215176438,0.1702569088298971,0.015847940484778,0.1650496869096155,0.1756284155824299,0.0015616171351958,0.0135941718689716,0.0015205579389409,0.0016037850413222,0.74767,0.741306330014752,-1.8250810251156264e-14,j = k,k,8172028
128,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.0008541993488872,0.0052855838642226,0.1310380569959695,0.1616092698233678,0.015475184384472,0.1567810342898572,0.1665861959078282,0.0065187119564316,0.0137173231772087,0.0063457852368419,0.0066963510400916,0.77127,0.8406610958858046,-4.99195299809035e-13,j = 1,k,8172028
128,128,8,8,8,1.3228756555322954,128,prior-scale curvature,0.0008561159450226,0.0056459098431835,1.0007200505704563,0.1516347176631282,0.0150723558757336,0.1472206729698993,0.156181106477334,0.0008554999418015,0.012965406056535,0.0008340337168612,0.0008775186609681,0.77127,0.8406610958858046,-4.99195299809035e-13,j = k,k,8172028
256,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.0004677305091188,0.0030750588312532,0.1307686329501697,0.1521045725581094,0.0147323876050679,0.147775285980066,0.1565606917262609,0.0035767790682422,0.0128893382161223,0.0034875503730423,0.003668290672417,0.7891,0.911601958121006,-3.019197121134985e-12,j = 1,k,8172028
256,128,8,8,8,1.3228756555322954,256,prior-scale curvature,0.0004724922197075,0.0032242650850768,0.9966202231845692,0.1465426096304489,0.0155597180142928,0.1421409526512389,0.1510805720431124,0.0004740945534877,0.0135951959828117,0.0004616283811544,0.0004868973720476,0.7891,0.911601958121006,-3.019197121134985e-12,j = k,k,8172028
