ratio,coordinate_role,estimated_power,r_squared,path
ratio_S_bar_S,j = 1,-0.1241793311957243,0.8934793905233598,k
ratio_S_bar_S,j = k,-0.1134581255284131,0.8662406091336848,k
ratio_S_posterior_variance,j = 1,-0.8760835602256497,0.9943917792622968,k
ratio_S_posterior_variance,j = k,-0.901260067191345,0.9962024449816604,k
ratio_S_bar_S,j = 1,-0.0654831590565331,0.9194924812030818,xi
ratio_S_bar_S,j = k,-0.0466900366163928,0.7459596918896652,xi
ratio_S_posterior_variance,j = 1,-0.0540822462518742,0.787727675437839,xi
ratio_S_posterior_variance,j = k,-1.0250052969712298,0.9986012930179512,xi
ratio_S_bar_S,j = 1,0.0149573914924511,0.7041216046183296,n
ratio_S_bar_S,j = k,0.0129150541541315,0.6421290012793925,n
ratio_S_posterior_variance,j = 1,0.0244595980019324,0.6644266686069633,n
ratio_S_posterior_variance,j = k,-0.0266937281571634,0.7752478489397036,n
